match_id,date,stage,team,opponent,scorer,minute_raw,minute,stoppage,period,is_penalty,is_own_goal,venue_city,is_knockout,minute_with_stoppage,in_stoppage,is_open_play,normal_time
1,2026-06-11,Group stage,Mexico,South Africa,Julián Quiñones,9,9,0,1st half,False,False,Mexico City,False,9,False,True,True
1,2026-06-11,Group stage,Mexico,South Africa,Raúl Jiménez,67,67,0,2nd half,False,False,Mexico City,False,67,False,True,True
2,2026-06-11,Group stage,South Korea,Czech Republic,Hwang In-Beom,67,67,0,2nd half,False,False,Guadalajara (Zapopan),False,67,False,True,True
2,2026-06-11,Group stage,South Korea,Czech Republic,Oh Hyeon-Gyu,80,80,0,2nd half,False,False,Guadalajara (Zapopan),False,80,False,True,True
2,2026-06-11,Group stage,Czech Republic,South Korea,Ladislav Krejcí,59,59,0,2nd half,False,False,Guadalajara (Zapopan),False,59,False,True,True
3,2026-06-18,Group stage,Czech Republic,South Africa,Michal Sadílek,6,6,0,1st half,False,False,Atlanta,False,6,False,True,True
3,2026-06-18,Group stage,South Africa,Czech Republic,Teboho Mokoena,83,83,0,2nd half,True,False,Atlanta,False,83,False,False,True
4,2026-06-18,Group stage,Mexico,South Korea,Luis Romo,50,50,0,2nd half,False,False,Guadalajara (Zapopan),False,50,False,True,True
5,2026-06-24,Group stage,Mexico,Czech Republic,Mateo Chávez,55,55,0,2nd half,False,False,Mexico City,False,55,False,True,True
5,2026-06-24,Group stage,Mexico,Czech Republic,Julián Quiñones,61,61,0,2nd half,False,False,Mexico City,False,61,False,True,True
5,2026-06-24,Group stage,Mexico,Czech Republic,Álvaro Fidalgo,90+4,90,4,2nd half,False,False,Mexico City,False,94,True,True,True
6,2026-06-24,Group stage,South Africa,South Korea,Thapelo Maseko,63,63,0,2nd half,False,False,Monterrey (Guadalupe),False,63,False,True,True
7,2026-06-12,Group stage,Canada,Bosnia and Herzegovina,Cyle Larin,78,78,0,2nd half,False,False,Toronto,False,78,False,True,True
7,2026-06-12,Group stage,Bosnia and Herzegovina,Canada,Jovo Lukić,21,21,0,1st half,False,False,Toronto,False,21,False,True,True
8,2026-06-13,Group stage,Qatar,Switzerland,Miro Muheim,90+4,90,4,2nd half,False,True,San Francisco Bay Area (Santa Clara),False,94,True,False,True
