match_id,stage,round_label,group,date,kickoff_local_hour,utc_offset,home_team,away_team,venue_city,ht_home,ht_away,ft_home,ft_away,final_home,final_away,went_to_et,went_to_pens,pen_home,pen_away,stadium,country,elevation_m,roof,lat,lon,capacity,is_knockout,total_goals,ninety_min_goals,goal_margin,first_half_goals,second_half_goals,sheltered,shelter_label,highland,kickoff_bucket
1,Group stage,Matchday 1,Group A,2026-06-11,13.0,-6,Mexico,South Africa,Mexico City,1,0,2,0,2,0,False,False,,,Estadio Azteca,Mexico,2240,open,19.3029,-99.1505,87523,False,2,2,2,1,1,False,Fully open bowl,True,Midday (<14h)
2,Group stage,Matchday 1,Group A,2026-06-11,20.0,-6,South Korea,Czech Republic,Guadalajara (Zapopan),0,0,2,1,2,1,False,False,,,Estadio Akron,Mexico,1566,open,20.6819,-103.4625,49813,False,3,3,1,0,3,False,Fully open bowl,True,Evening (17-20h)
3,Group stage,Matchday 8,Group A,2026-06-18,12.0,-4,Czech Republic,South Africa,Atlanta,1,0,1,1,1,1,False,False,,,Mercedes-Benz Stadium,USA,320,retractable,33.7554,-84.4008,71000,False,2,2,0,1,1,True,Sheltered (roof or canopy),False,Midday (<14h)
4,Group stage,Matchday 8,Group A,2026-06-18,19.0,-6,Mexico,South Korea,Guadalajara (Zapopan),0,0,1,0,1,0,False,False,,,Estadio Akron,Mexico,1566,open,20.6819,-103.4625,49813,False,1,1,1,0,1,False,Fully open bowl,True,Evening (17-20h)
5,Group stage,Matchday 14,Group A,2026-06-24,19.0,-6,Czech Republic,Mexico,Mexico City,0,0,0,3,0,3,False,False,,,Estadio Azteca,Mexico,2240,open,19.3029,-99.1505,87523,False,3,3,3,0,3,False,Fully open bowl,True,Evening (17-20h)
6,Group stage,Matchday 14,Group A,2026-06-24,19.0,-6,South Africa,South Korea,Monterrey (Guadalupe),0,0,1,0,1,0,False,False,,,Estadio BBVA,Mexico,540,open,25.669,-100.244,53500,False,1,1,1,0,1,False,Fully open bowl,True,Evening (17-20h)
7,Group stage,Matchday 2,Group B,2026-06-12,15.0,-4,Canada,Bosnia and Herzegovina,Toronto,0,1,1,1,1,1,False,False,,,BMO Field,Canada,80,open,43.6332,-79.4185,45000,False,2,2,0,1,1,False,Fully open bowl,False,Afternoon (14-17h)
8,Group stage,Matchday 3,Group B,2026-06-13,12.0,-7,Qatar,Switzerland,San Francisco Bay Area (Santa Clara),0,1,1,1,1,1,False,False,,,Levi's Stadium,USA,9,open,37.4033,-121.9694,68500,False,2,2,0,1,1,False,Fully open bowl,False,Midday (<14h)
9,Group stage,Matchday 8,Group B,2026-06-18,12.0,-7,Switzerland,Bosnia and Herzegovina,Los Angeles (Inglewood),0,0,4,1,4,1,False,False,,,SoFi Stadium,USA,30,canopy,33.9535,-118.3392,70240,False,5,5,3,0,5,True,Sheltered (roof or canopy),False,Midday (<14h)
10,Group stage,Matchday 8,Group B,2026-06-18,15.0,-7,Canada,Qatar,Vancouver,3,0,6,0,6,0,False,False,,,BC Place,Canada,5,retractable,49.2767,-123.112,54500,False,6,6,6,3,3,True,Sheltered (roof or canopy),False,Afternoon (14-17h)
11,Group stage,Matchday 14,Group B,2026-06-24,12.0,-7,Switzerland,Canada,Vancouver,0,0,2,1,2,1,False,False,,,BC Place,Canada,5,retractable,49.2767,-123.112,54500,False,3,3,1,0,3,True,Sheltered (roof or canopy),False,Midday (<14h)
12,Group stage,Matchday 14,Group B,2026-06-24,12.0,-7,Bosnia and Herzegovina,Qatar,Seattle,2,1,3,1,3,1,False,False,,,Lumen Field,USA,10,canopy,47.5952,-122.3316,68740,False,4,4,2,3,1,True,Sheltered (roof or canopy),False,Midday (<14h)
13,Group stage,Matchday 3,Group C,2026-06-13,18.0,-4,Brazil,Morocco,New York/New Jersey (East Rutherford),1,1,1,1,1,1,False,False,,,MetLife Stadium,USA,5,open,40.8135,-74.0745,82500,False,2,2,0,2,0,False,Fully open bowl,False,Evening (17-20h)
14,Group stage,Matchday 3,Group C,2026-06-13,21.0,-4,Haiti,Scotland,Boston (Foxborough),0,1,0,1,0,1,False,False,,,Gillette Stadium,USA,30,open,42.0909,-71.2643,65878,False,1,1,1,1,0,False,Fully open bowl,False,Night (20h+)
15,Group stage,Matchday 9,Group C,2026-06-19,18.0,-4,Scotland,Morocco,Boston (Foxborough),0,1,0,1,0,1,False,False,,,Gillette Stadium,USA,30,open,42.0909,-71.2643,65878,False,1,1,1,1,0,False,Fully open bowl,False,Evening (17-20h)
16,Group stage,Matchday 9,Group C,2026-06-19,20.5,-4,Brazil,Haiti,Philadelphia,3,0,3,0,3,0,False,False,,,Lincoln Financial Field,USA,10,open,39.9008,-75.1675,69796,False,3,3,3,3,0,False,Fully open bowl,False,Night (20h+)
17,Group stage,Matchday 14,Group C,2026-06-24,18.0,-4,Scotland,Brazil,Miami (Miami Gardens),0,2,0,3,0,3,False,False,,,Hard Rock Stadium,USA,2,canopy,25.958,-80.2389,65326,False,3,3,3,2,1,True,Sheltered (roof or canopy),False,Evening (17-20h)
