player,position,team,age,club,birth_year,appearances,starts,minutes,PlayingTime_minutes_90s,goals,assists,goal_involvements,Performance_goals_pens,penalties_scored,Performance_pens_att,yellow_cards,red_cards,Per90Minutes_goals_per90,Per90Minutes_assists_per90,Per90Minutes_goals_assists_per90,Per90Minutes_goals_pens_per90,Per90Minutes_goals_assists_pens_per90,Starts_games_starts,sub_appearances,Subs_minutes_per_sub,Starts_minutes_per_start,PlayingTime_minutes_pct,fouls_committed,fouls_drawn,Performance_offsides,own_goals,position_group,confederation,squad_role,goals_per90,involvements_per90,fouls_per90,minutes_per_appearance
Brenden Aaronson,MF,United States,25,1.eng Leeds United,2000,1,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,,76.0,16.9,2,1,0,0,MF,CONCACAF,Mainly a starter,0.0,0.0,2.3684210526315788,76.0
Thelo Aasgaard,MF,Norway,24,1.sct Rangers,2002,1,1,90,1.0,1,0,1,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1,0,,90.0,15.8,0,3,0,0,MF,UEFA,Mainly a starter,1.0,1.0,0.0,90.0
Hamza Abdelkarim,FW,Egypt,18,4.es Barcelona B,2008,4,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,4,15.0,,12.5,2,0,0,0,FW,CAF,Mainly a substitute,0.0,0.0,3.0,15.0
Hossam Abdelmaguid,DF,Egypt,25,1.eg Zamalek SC,2001,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2,30.0,,12.3,1,0,0,0,DF,CAF,Mainly a substitute,0.0,0.0,1.5254237288135593,29.5
Mohamed Abdelmonem,DF,Egypt,27,1.fr Nice,1999,2,1,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,13.0,2.9,1,0,0,0,DF,CAF,Mainly a starter,0.0,0.0,6.428571428571429,7.0
Ali Abdi,DF,Tunisia,32,1.fr Nice,1993,3,3,269,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,,90.0,99.6,4,1,0,0,DF,CAF,Mainly a starter,0.0,0.0,1.338289962825279,89.66666666666667
Saud Abdulhamid,DF,Saudi Arabia,26,1.fr Lens,1999,3,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3,0,,90.0,99.6,4,2,0,0,DF,AFC,Mainly a starter,0.0,0.0,1.338289962825279,89.66666666666667
Abdulla Abdullaev,DF,Uzbekistan,28,1.ae Dibba Al Fujairah,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,,90.0,66.7,5,1,0,0,DF,AFC,Mainly a starter,0.0,0.0,2.5,90.0
Yusuf Abdurisag,FW,Qatar,26,1.qa Al-Wakrah,1999,2,2,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,,49.0,36.3,1,2,0,0,FW,AFC,Mainly a starter,0.0,0.0,0.9183673469387755,49.0
Husam Abu Dahab,DF,Jordan,26,1.kw Al-Salmiya SC,2000,2,2,178,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2,0,,89.0,65.9,2,1,0,0,DF,AFC,Mainly a starter,0.0,0.0,1.0112359550561798,89.0
Mohammad Abu Hasheesh,DF,Jordan,31,1.iq Al-Karma,1995,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,6.0,,2.2,0,0,0,0,DF,AFC,Mainly a substitute,0.0,0.0,0.0,6.0
Mohannad Abu Taha,DF,Jordan,23,1.iq Al-Quwa Al-Jawiya,2003,3,3,264,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3,0,,88.0,97.8,2,1,0,0,DF,AFC,Mainly a starter,0.0,0.0,0.6818181818181818,88.0
Mo Abualnadi,DF,Jordan,25,1.my Selangor FA,2001,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,,71.0,26.3,0,0,0,0,DF,AFC,Mainly a starter,0.0,0.0,0.0,71.0
Yazeed Abulaila,GK,Jordan,33,1.jo Al-Hussein SC,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,,90.0,100.0,0,0,0,0,GK,AFC,Mainly a starter,0.0,0.0,0.0,90.0
Mahmoud Abunada,GK,Qatar,26,1.qa Al Rayyan SC,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3,0,,90.0,100.0,1,1,0,1,GK,AFC,Mainly a starter,0.0,0.0,0.3333333333333333,90.0
Elias Achouri,"FW,MF",Tunisia,27,1.dk FC Copenhagen,1999,3,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,3,14.0,,15.9,0,1,1,0,FW,CAF,Mainly a substitute,0.0,0.0,0.0,14.333333333333334
Ché Adams,FW,Scotland,29,1.it Torino,1996,3,2,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,1,1.0,72.0,53.7,4,2,0,0,FW,UEFA,Mainly a starter,0.0,0.0,2.4827586206896552,48.333333333333336
Jayden Adams,MF,South Africa,25,1.za Sundowns,2001,3,2,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,1,11.0,53.0,32.2,0,0,0,0,MF,CAF,Mainly a starter,0.0,0.0,0.0,38.666666666666664
Tyler Adams,MF,United States,27,1.eng Bournemouth,1999,4,4,341,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4,0,,85.0,75.8,5,6,0,0,MF,CONCACAF,Mainly a starter,0.0,0.0,1.3196480938416422,85.25
Ricardo Adé,DF,Haiti,36,1.ec LDU Quito,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,,90.0,100.0,6,4,0,0,DF,CONCACAF,Mainly a starter,0.0,0.0,2.0,90.0
Ibrahim Adel,MF,Egypt,25,1.dk Nordsjælland,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,3.0,,0.6,0,0,0,0,MF,CAF,Mainly a substitute,0.0,0.0,0.0,3.0
Simon Adingra,"FW,MF",Ivory Coast,24,1.fr Monaco,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,16.0,,4.4,0,0,0,0,FW,CAF,Mainly a substitute,0.0,0.0,0.0,16.0
Jonas Adjetey,DF,Ghana,22,1.de Wolfsburg,2003,3,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,,75.0,62.5,1,0,0,0,DF,CAF,Mainly a starter,0.0,0.0,0.4,75.0
Michel Aebischer,"MF,FW",Switzerland,29,1.it Pisa,1997,4,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,2,11.0,68.0,26.0,3,2,0,0,MF,UEFA,Mainly a starter,0.0,0.0,1.7307692307692308,39.0
Akram Afif,"FW,MF",Qatar,29,1.qa Al Sadd,1996,3,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,,79.0,88.1,0,4,2,0,FW,AFC,Mainly a starter,0.0,0.0,0.0,79.33333333333333
Emmanuel Agbadou,DF,Ivory Coast,28,1.tr Beşiktaş,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,,90.0,75.0,0,0,0,0,DF,CAF,Mainly a starter,0.0,0.0,0.0,90.0
Rodrigo Aguirre,FW,Uruguay,31,1.mx América,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,,0.4,0,0,0,0,FW,CONMEBOL,Mainly a substitute,0.0,0.0,0.0,1.0
Ali Ahmed,MF,Canada,25,2.eng Norwich City,2000,4,3,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,1,30.0,68.0,52.0,1,5,0,0,MF,CONCACAF,Mainly a starter,0.0,0.0,0.38461538461538464,58.5
Homam Ahmed,DF,Qatar,26,2.es Cultural Leonesa,1999,2,2,122,1.4,0,1,1,0,0,0,0,1,0.0,0.74,0.74,0.0,0.74,2,0,,61.0,45.2,4,0,0,0,DF,AFC,Mainly a starter,0.0,0.7377049180327869,2.9508196721311477,61.0
Rayan Aït-Nouri,DF,Algeria,25,1.eng Manchester City,2001,4,3,284,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,1,20.0,88.0,78.9,6,4,0,0,DF,CAF,Mainly a starter,0.0,0.0,1.9014084507042253,71.0
Kristoffer Ajer,DF,Norway,28,1.eng Brentford,1998,5,5,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,5,0,,96.0,84.2,2,1,0,0,DF,UEFA,Mainly a starter,0.0,0.0,0.375,96.0
Manuel Akanji,DF,Switzerland,30,1.it Inter,1995,6,6,600,6.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,0,,100.0,100.0,4,4,0,0,DF,UEFA,Mainly a starter,0.0,0.0,0.6,100.0
Nathan Aké,DF,Netherlands,31,1.eng Manchester City,1995,3,2,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,1,10.0,80.0,43.6,2,2,0,0,DF,UEFA,Mainly a starter,0.0,0.0,1.0588235294117647,56.666666666666664
Yunus Akgün,MF,Turkey,25,1.tr Galatasaray,2000,2,1,88,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,1,29.0,59.0,32.6,2,1,0,0,MF,UEFA,Mainly a starter,0.0,0.0,2.0454545454545454,44.0
Maghnes Akliouche,MF,France,24,1.fr Monaco,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,8.0,,1.1,0,0,0,0,MF,UEFA,Mainly a substitute,0.0,0.0,0.0,8.0
Kerem Aktürkoğlu,FW,Turkey,27,1.tr Fenerbahçe,1998,2,2,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,,65.0,47.8,0,2,0,0,FW,UEFA,Mainly a starter,0.0,0.0,0.0,64.5
Ahmed Alaaeldin,FW,Qatar,33,1.qa Al Rayyan SC,1993,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2,22.0,,15.9,1,1,0,0,FW,AFC,Mainly a substitute,0.0,0.0,2.0930232558139537,21.5
David Alaba,DF,Austria,33,1.es Real Madrid,1992,4,4,275,3.1,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33,4,0,,69.0,76.4,2,0,0,0,DF,UEFA,Mainly a starter,0.0,0.32727272727272727,0.6545454545454545,68.75
Kerim Alajbegović,MF,Bosnia and Herzegovina,18,1.at RB Salzburg,2007,4,3,277,3.1,1,0,1,1,0,0,0,0,0.32,0.0,0.32,0.32,0.32,3,1,17.0,87.0,76.9,4,6,1,0,MF,UEFA,Mainly a starter,0.3249097472924188,0.3249097472924188,1.2996389891696751,69.25
Jordy Alcivar,MF,Ecuador,26,1.ec Independiente,1999,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,0,,45.0,12.5,1,0,0,0,MF,CONMEBOL,Mainly a starter,0.0,0.0,2.0,45.0
Omar Alderete,DF,Paraguay,29,1.eng Sunderland,1996,4,4,320,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,0,,80.0,66.7,2,3,0,0,DF,CONMEBOL,Mainly a starter,0.0,0.0,0.5625,80.0
Almoez Ali,FW,Qatar,29,1.qa Al Duhail SC,1996,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,19.0,,7.0,0,0,0,0,FW,AFC,Mainly a substitute,0.0,0.0,0.0,19.0
Hussein Ali,DF,Iraq,24,1.pl Pogoń Szczecin,2002,2,2,162,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,,81.0,60.0,1,0,1,0,DF,AFC,Mainly a starter,0.0,0.0,0.5555555555555556,81.0
Mohanad Ali,FW,Iraq,25,1.ae Dibba Al Fujairah,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,13.0,,4.8,0,0,0,0,FW,AFC,Mainly a substitute,0.0,0.0,0.0,13.0
Taha Ali,"FW,MF",Sweden,27,1.se Malmö,1998,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2,19.0,,10.3,0,2,0,0,FW,UEFA,Mainly a substitute,0.0,0.0,0.0,18.5
Khojiakbar Alijonov,MF,Uzbekistan,29,1.uz Pakhtakor Tashkent FK,1997,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,45.0,90.0,50.0,2,1,0,0,MF,AFC,Mainly a starter,0.0,0.0,1.3333333333333333,67.5
Ali Alipour,FW,Iran,30,1.ir Persepolis,1995,1,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,38.0,,14.1,1,1,0,0,FW,AFC,Mainly a substitute,0.0,0.0,2.3684210526315788,38.0
Alisson,GK,Brazil,33,1.eng Liverpool,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0,,90.0,100.0,0,0,0,0,GK,CONMEBOL,Mainly a starter,0.0,0.0,0.0,90.0
