team,match_id,from_stage,to_stage,into_knockout,rest_days,confederation,interval_label
Algeria,58,Group stage,Group stage,False,6,CAF,Before a group match
Algeria,59,Group stage,Group stage,False,5,CAF,Before a group match
Algeria,85,Group stage,Round of 32,True,5,CAF,Before a knockout match
Argentina,57,Group stage,Group stage,False,6,CONMEBOL,Before a group match
Argentina,60,Group stage,Group stage,False,5,CONMEBOL,Before a group match
Argentina,86,Group stage,Round of 32,True,6,CONMEBOL,Before a knockout match
Argentina,95,Round of 32,Round of 16,True,4,CONMEBOL,Before a knockout match
Argentina,100,Round of 16,Quarter-final,True,4,CONMEBOL,Before a knockout match
Argentina,102,Quarter-final,Semi-final,True,4,CONMEBOL,Before a knockout match
Argentina,104,Semi-final,Final,True,4,CONMEBOL,Before a knockout match
Australia,21,Group stage,Group stage,False,6,AFC,Before a group match
Australia,24,Group stage,Group stage,False,6,AFC,Before a group match
Australia,88,Group stage,Round of 32,True,8,AFC,Before a knockout match
Austria,57,Group stage,Group stage,False,6,UEFA,Before a group match
Austria,59,Group stage,Group stage,False,5,UEFA,Before a group match
Austria,84,Group stage,Round of 32,True,5,UEFA,Before a knockout match
Belgium,39,Group stage,Group stage,False,6,UEFA,Before a group match
Belgium,42,Group stage,Group stage,False,5,UEFA,Before a group match
Belgium,82,Group stage,Round of 32,True,5,UEFA,Before a knockout match
Belgium,94,Round of 32,Round of 16,True,5,UEFA,Before a knockout match
Belgium,98,Round of 16,Quarter-final,True,4,UEFA,Before a knockout match
Bosnia and Herzegovina,9,Group stage,Group stage,False,6,UEFA,Before a group match
Bosnia and Herzegovina,12,Group stage,Group stage,False,6,UEFA,Before a group match
Bosnia and Herzegovina,81,Group stage,Round of 32,True,7,UEFA,Before a knockout match
Brazil,16,Group stage,Group stage,False,6,CONMEBOL,Before a group match
Brazil,17,Group stage,Group stage,False,5,CONMEBOL,Before a group match
Brazil,76,Group stage,Round of 32,True,5,CONMEBOL,Before a knockout match
Brazil,91,Round of 32,Round of 16,True,6,CONMEBOL,Before a knockout match
Canada,10,Group stage,Group stage,False,6,CONCACAF,Before a group match
Canada,11,Group stage,Group stage,False,6,CONCACAF,Before a group match
Canada,73,Group stage,Round of 32,True,4,CONCACAF,Before a knockout match
Canada,90,Round of 32,Round of 16,True,6,CONCACAF,Before a knockout match
Cape Verde,46,Group stage,Group stage,False,6,CAF,Before a group match
Cape Verde,47,Group stage,Group stage,False,5,CAF,Before a group match
Cape Verde,86,Group stage,Round of 32,True,7,CAF,Before a knockout match
Colombia,64,Group stage,Group stage,False,6,CONMEBOL,Before a group match
Colombia,65,Group stage,Group stage,False,4,CONMEBOL,Before a group match
Colombia,87,Group stage,Round of 32,True,6,CONMEBOL,Before a knockout match
Colombia,96,Round of 32,Round of 16,True,4,CONMEBOL,Before a knockout match
Croatia,70,Group stage,Group stage,False,6,UEFA,Before a group match
Croatia,72,Group stage,Group stage,False,4,UEFA,Before a group match
Croatia,83,Group stage,Round of 32,True,5,UEFA,Before a knockout match
