team,played,points,goals_for,goals_against,points_per_match,goal_difference,confederation,bloc,reached_knockout,is_host,goals_scored_total,distinct_scorers,players_used,mean_age,possession_pct,matches_played,fouls_committed,yellow_cards,red_cards,cards_per_10_fouls
Algeria,3,4,5,7,1.3333333333333333,-2,CAF,Other confederations,True,False,5.0,4.0,22,27.3,61.0,4,29,3,0,1.0344827586206897
Argentina,3,9,8,1,3.0,7,CONMEBOL,UEFA / CONMEBOL,True,False,18.0,8.0,24,29.6,57.6,8,113,15,1,1.415929203539823
Australia,3,4,2,2,1.3333333333333333,0,AFC,Other confederations,True,False,2.0,2.0,23,25.3,41.0,4,46,5,0,1.0869565217391304
Austria,3,4,6,6,1.3333333333333333,0,UEFA,UEFA / CONMEBOL,True,False,5.0,4.0,20,28.8,45.0,4,47,5,0,1.0638297872340425
Belgium,3,5,6,2,1.6666666666666667,4,UEFA,UEFA / CONMEBOL,True,False,13.0,7.0,23,29.2,51.2,6,78,6,1,0.8974358974358975
Bosnia and Herzegovina,3,4,5,6,1.3333333333333333,-1,UEFA,UEFA / CONMEBOL,True,False,4.0,3.0,23,26.6,46.0,4,60,7,1,1.3333333333333333
Brazil,3,7,7,1,2.3333333333333335,6,CONMEBOL,UEFA / CONMEBOL,True,False,10.0,5.0,22,29.2,53.0,5,51,8,0,1.5686274509803921
Canada,3,4,8,3,1.3333333333333333,5,CONCACAF,Other confederations,True,True,8.0,5.0,22,26.9,54.4,5,72,11,0,1.5277777777777777
Cape Verde,3,3,2,2,1.0,0,CAF,Other confederations,True,False,4.0,4.0,21,30.8,37.3,4,27,5,0,1.8518518518518519
Colombia,3,7,4,1,2.3333333333333335,3,CONMEBOL,UEFA / CONMEBOL,True,False,5.0,4.0,21,30.0,57.8,5,70,8,0,1.1428571428571428
Croatia,3,6,5,5,2.0,0,UEFA,UEFA / CONMEBOL,True,False,6.0,6.0,19,29.1,49.8,4,45,4,0,0.8888888888888888
Curaçao,3,1,1,9,0.3333333333333333,-8,CONCACAF,Other confederations,False,False,1.0,1.0,22,28.9,32.3,3,32,7,0,2.1875
Czech Republic,3,1,2,6,0.3333333333333333,-4,UEFA,UEFA / CONMEBOL,False,False,2.0,2.0,21,27.8,42.7,3,37,1,0,0.2702702702702703
DR Congo,3,4,4,3,1.3333333333333333,1,CAF,Other confederations,True,False,5.0,3.0,21,28.8,40.0,4,44,6,0,1.3636363636363635
Ecuador,3,4,2,2,1.3333333333333333,0,CONMEBOL,UEFA / CONMEBOL,True,False,2.0,2.0,21,26.8,55.8,4,49,8,1,1.836734693877551
Egypt,3,5,5,3,1.6666666666666667,2,CAF,Other confederations,True,False,8.0,6.0,21,29.3,51.4,5,59,12,0,2.0338983050847457
England,3,7,6,2,2.3333333333333335,4,UEFA,UEFA / CONMEBOL,True,False,20.0,7.0,24,26.5,54.1,8,81,8,1,1.1111111111111112
France,3,9,10,2,3.0,8,UEFA,UEFA / CONMEBOL,True,False,20.0,4.0,22,26.9,55.9,8,84,6,0,0.7142857142857143
Germany,3,6,10,4,2.0,6,UEFA,UEFA / CONMEBOL,True,False,11.0,7.0,23,28.1,65.0,4,51,3,0,0.5882352941176471
Ghana,3,4,2,2,1.3333333333333333,0,CAF,Other confederations,True,False,2.0,2.0,22,27.4,36.3,4,56,6,0,1.0714285714285714
Haiti,3,0,2,8,0.0,-6,CONCACAF,Other confederations,False,False,1.0,1.0,18,28.6,42.7,3,55,7,0,1.2727272727272727
Iran,3,3,3,3,1.0,0,AFC,Other confederations,False,False,3.0,2.0,20,31.7,39.0,3,35,6,0,1.7142857142857142
Iraq,3,0,1,12,0.0,-11,AFC,Other confederations,False,False,1.0,1.0,25,26.4,38.3,3,27,4,1,1.8518518518518519
Ivory Coast,3,6,4,2,2.0,2,CAF,Other confederations,True,False,5.0,3.0,22,25.5,49.8,4,29,4,0,1.3793103448275863
Japan,3,5,7,3,1.6666666666666667,4,AFC,Other confederations,True,False,8.0,6.0,24,27.5,46.3,4,55,4,0,0.7272727272727273
Jordan,3,0,3,8,0.0,-5,AFC,Other confederations,False,False,3.0,3.0,20,28.2,30.7,3,31,4,0,1.2903225806451613
Mexico,3,9,6,0,3.0,6,CONCACAF,Other confederations,True,True,10.0,5.0,25,27.6,52.2,5,58,4,1,0.8620689655172413
Morocco,3,7,6,3,2.3333333333333335,3,CAF,Other confederations,True,False,10.0,6.0,23,26.0,59.0,6,74,7,0,0.9459459459459459
Netherlands,3,7,10,4,2.3333333333333335,6,UEFA,UEFA / CONMEBOL,True,False,10.0,5.0,22,27.2,53.3,4,44,3,0,0.6818181818181818
New Zealand,3,1,4,10,0.3333333333333333,-6,OFC,Other confederations,False,False,4.0,2.0,17,28.1,47.0,3,32,4,0,1.25
Norway,3,6,8,7,2.0,1,UEFA,UEFA / CONMEBOL,True,False,12.0,6.0,25,27.1,52.2,6,58,3,0,0.5172413793103449
Panama,3,0,0,4,0.0,-4,CONCACAF,Other confederations,False,False,0.0,0.0,20,28.8,45.7,3,46,5,0,1.0869565217391304
Paraguay,3,4,2,4,1.3333333333333333,-2,CONMEBOL,UEFA / CONMEBOL,True,False,3.0,3.0,24,28.0,30.0,5,66,9,1,1.5151515151515151
Portugal,3,5,6,1,1.6666666666666667,5,UEFA,UEFA / CONMEBOL,True,False,7.0,5.0,22,27.7,58.4,5,44,7,0,1.5909090909090908
Qatar,3,1,2,10,0.3333333333333333,-8,AFC,Other confederations,False,False,1.0,1.0,22,29.7,33.0,3,36,4,2,1.6666666666666667
Saudi Arabia,3,2,1,5,0.6666666666666666,-4,AFC,Other confederations,False,False,1.0,1.0,18,28.6,38.3,3,29,6,0,2.0689655172413794
Scotland,3,3,1,4,1.0,-3,UEFA,UEFA / CONMEBOL,False,False,1.0,1.0,20,29.1,44.3,3,42,5,0,1.1904761904761905
Senegal,3,3,8,6,1.0,2,CAF,Other confederations,True,False,10.0,5.0,22,28.5,55.3,4,36,3,0,0.8333333333333334
South Africa,3,4,2,3,1.3333333333333333,-1,CAF,Other confederations,True,False,2.0,2.0,19,26.7,48.0,4,38,5,2,1.8421052631578947
South Korea,3,3,2,3,1.0,-1,AFC,Other confederations,False,False,2.0,2.0,20,28.2,63.0,3,25,4,0,1.6
Spain,3,7,5,0,2.3333333333333335,5,UEFA,UEFA / CONMEBOL,True,False,13.0,7.0,22,26.3,64.1,8,101,6,0,0.594059405940594
Sweden,3,4,7,7,1.3333333333333333,0,UEFA,UEFA / CONMEBOL,True,False,7.0,5.0,22,26.7,46.3,4,43,5,0,1.1627906976744187
Switzerland,3,7,7,3,2.3333333333333335,4,UEFA,UEFA / CONMEBOL,True,False,10.0,5.0,23,29.4,54.0,6,87,8,1,1.0344827586206897
Tunisia,3,0,2,12,0.0,-10,CAF,Other confederations,False,False,2.0,2.0,20,27.4,39.3,3,27,1,0,0.37037037037037035
Turkey,3,3,3,5,1.0,-2,UEFA,UEFA / CONMEBOL,False,False,3.0,3.0,23,26.6,66.3,3,31,2,0,0.6451612903225806
United States,3,6,8,4,2.0,4,CONCACAF,Other confederations,True,False,9.0,6.0,24,26.7,56.8,5,56,7,1,1.4285714285714286
Uruguay,3,2,3,4,0.6666666666666666,-1,CONMEBOL,UEFA / CONMEBOL,False,False,3.0,2.0,17,28.6,55.0,3,31,5,1,1.935483870967742
Uzbekistan,3,0,2,11,0.0,-9,AFC,Other confederations,False,False,2.0,2.0,23,26.9,38.3,3,45,4,0,0.8888888888888888
